web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588812377-1126","https://wiki.d-addicts.com/Category:HKArtist","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","F","https://wiki.d-addicts.com/index.php?title=Category:HKSinger&from=F","Flora Chan","https://wiki.d-addicts.com/Flora_Chan","163","50","/images/thumb/8/89/Flora_Chan.jpg/190px-Flora_Chan.jpg"
"1588814346-3521","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","J","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=J","Jacqueline Law","https://wiki.d-addicts.com/Jacqueline_Law","null","null","/images/9/97/Jacquelinelaw.jpg"
"1588817193-6258","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","C","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=C","Calvin Lui","https://wiki.d-addicts.com/Calvin_Lui","178","71","/images/7/76/CalvinLui.jpg"
"1588815660-4902","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","S","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=S","So Jung Hong","https://wiki.d-addicts.com/So_Jung_Hong","null","null",""
"1588816510-5663","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","J","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=J","Jerry Koo","https://wiki.d-addicts.com/Jerry_Koo","null","null","/images/0/0c/Koo_Ming_Wa.jpg"
"1588814369-3549","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","I","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=I","Iva Law","https://wiki.d-addicts.com/Iva_Law","168","50","/images/a/af/IvaLaw.jpg"
"1588815949-5138","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","N","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=N","Ng Bok Kwan","https://wiki.d-addicts.com/Ng_Bok_Kwan","null","null","/images/d/d4/Ng_Bok_Guan.jpg"
"1588813779-2804","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","M","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=M","Mannor Chan","https://wiki.d-addicts.com/Mannor_Chan","null","null","/images/6/65/MannorChan.jpg"
"1588813612-2594","https://wiki.d-addicts.com/Category:HKArtist","HKActress","https://wiki.d-addicts.com/Category:HKActress","P","https://wiki.d-addicts.com/index.php?title=Category:HKActress&from=P","Poon Ka Man","https://wiki.d-addicts.com/Poon_Ka_Man","null","null","/images/3/3a/PoonKaMan.jpg"
"1588815267-4511","https://wiki.d-addicts.com/Category:HKArtist","HKActor","https://wiki.d-addicts.com/Category:HKActor","Y","https://wiki.d-addicts.com/index.php?title=Category:HKActor&from=Y","Yeung Chak Lum","https://wiki.d-addicts.com/Yeung_Chak_Lum","null","null","/images/thumb/0/0c/Yeung_Chak_Lum.jpg/250px-Yeung_Chak_Lum.jpg"
