web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588818488-7222","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","W","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=W","Won Young","https://wiki.d-addicts.com/Won_Young","162","45",""
"1588818396-7142","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","Y","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=Y","Yoo Ho Jung","https://wiki.d-addicts.com/Yoo_Ho_Jung","165","43","/images/3/31/Yoohojung.jpg"
"1588818103-6914","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","J","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=J","Jang Doo Ik","https://wiki.d-addicts.com/Jang_Doo_Ik","null","null",""
"1588825317-11881","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","O","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=O","Ohn Joo Wan","https://wiki.d-addicts.com/Ohn_Joo_Wan","180","68","/images/thumb/c/c8/OhnJooWan.jpg/300px-OhnJooWan.jpg"
"1588815074-4335","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","K","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=K","Kim Dong Joon","https://wiki.d-addicts.com/Kim_Dong_Joon","175","56","/images/thumb/d/dc/Kim_Dong_Joon.jpg/200px-Kim_Dong_Joon.jpg"
"1588817994-6834","https://wiki.d-addicts.com/Category:KArtist","KDirector","https://wiki.d-addicts.com/Category:KDirector","K","https://wiki.d-addicts.com/index.php?title=Category:KDirector&from=K","Kang Kyung Hoon","https://wiki.d-addicts.com/Kang_Kyung_Hoon","null","null","/images/f/f1/Kang_Kyung_Hoon.jpg"
"1588828159-14154","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","C","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=C","Choi Min","https://wiki.d-addicts.com/Choi_Min","177","69","/images/0/00/Min_Choi.jpg"
"1588812973-1817","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","Y","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=Y","Yozoh","https://wiki.d-addicts.com/Yozoh","163","null","/images/e/e7/Yozoh.jpg"
"1588815607-4856","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","J","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=J","Jang Seo Hee","https://wiki.d-addicts.com/Jang_Seo_Hee","163","47","/images/d/da/JangSeoHee.jpg"
"1588818265-7016","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","Y","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=Y","Yoon Yeo Jung","https://wiki.d-addicts.com/Yoon_Yeo_Jung","163","45","/images/thumb/6/6c/Yoon_Yeo_Jung.jpg/200px-Yoon_Yeo_Jung.jpg"
"1588816393-5566","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","B","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=B","Bii","https://wiki.d-addicts.com/Bii","null","null","/images/thumb/a/af/Bii.jpg/300px-Bii.jpg"
"1588815695-4933","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","I","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=I","Im Seul Ong","https://wiki.d-addicts.com/Im_Seul_Ong","186","75","/images/2/20/Im_Seul_Ong.jpg"
"1588814498-3700","https://wiki.d-addicts.com/Category:KArtist","KSinger","https://wiki.d-addicts.com/Category:KSinger","L","https://wiki.d-addicts.com/index.php?title=Category:KSinger&from=L","Lee Hyun Woo","https://wiki.d-addicts.com/Lee_Hyun_Woo","178","65","/images/9/90/Hyun_Woo.jpg"
"1588824595-11391","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","S","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=S","Seo Tae Hwa","https://wiki.d-addicts.com/Seo_Tae_Hwa","null","null","/images/c/cd/Seo_Tae_Hwa.jpg"
"1588822062-9674","https://wiki.d-addicts.com/Category:KArtist","KActress","https://wiki.d-addicts.com/Category:KActress","I","https://wiki.d-addicts.com/index.php?title=Category:KActress&from=I","Im Soo Hyang","https://wiki.d-addicts.com/Im_Soo_Hyang","169","48","/images/thumb/1/14/Im_Soo_Hyang.jpg/200px-Im_Soo_Hyang.jpg"
"1588827986-14013","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","D","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=D","Do Ki Suk","https://wiki.d-addicts.com/Do_Ki_Suk","182","80","/images/8/8c/DoKiSuk.jpg"
"1588811989-684","https://wiki.d-addicts.com/Category:KArtist","KWriter","https://wiki.d-addicts.com/Category:KWriter","O","https://wiki.d-addicts.com/index.php?title=Category:KWriter&from=O","Oh Soo Yun","https://wiki.d-addicts.com/Oh_Soo_Yun","null","null",""
"1588823540-10662","https://wiki.d-addicts.com/Category:KArtist","KActor","https://wiki.d-addicts.com/Category:KActor","Y","https://wiki.d-addicts.com/index.php?title=Category:KActor&from=Y","Yoon Won Suk","https://wiki.d-addicts.com/Yoon_Won_Suk","null","null",""
