web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588811835-483","https://wiki.d-addicts.com/Category:JArtist","JWriter","https://wiki.d-addicts.com/Category:JWriter","M","https://wiki.d-addicts.com/index.php?title=Category:JWriter&from=M","Mori Hayashi","https://wiki.d-addicts.com/Mori_Hayashi","null","null","/images/e/e9/MoriHayashi.jpg"
"1588813309-2241","https://wiki.d-addicts.com/Category:JArtist","JSinger","https://wiki.d-addicts.com/Category:JSinger","O","https://wiki.d-addicts.com/index.php?title=Category:JSinger&from=O","Oba Kumiko","https://wiki.d-addicts.com/Oba_Kumiko","153","40","/images/a/a3/Oba_Kumiko.jpg"
"1588811618-179","https://wiki.d-addicts.com/Category:JArtist","JWriter","https://wiki.d-addicts.com/Category:JWriter","T","https://wiki.d-addicts.com/index.php?title=Category:JWriter&from=T","Takeda Juri","https://wiki.d-addicts.com/Takeda_Juri","null","null",""
"1588827471-13619","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","I","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=I","Ito Takashi","https://wiki.d-addicts.com/Ito_Takashi","184","70","/images/thumb/2/2b/ItoTakashi.jpg/200px-ItoTakashi.jpg"
"1588818999-7562","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","O","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=O","Ono Yuriko","https://wiki.d-addicts.com/Ono_Yuriko","167","null","/images/thumb/3/3c/Onoyuriko.jpg/200px-Onoyuriko.jpg"
"1588828892-14602","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","C","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=C","Chiba Yuta","https://wiki.d-addicts.com/Chiba_Yuta","null","null","/images/thumb/a/a1/YutaChiba.jpg/200px-YutaChiba.jpg"
"1588824011-10996","https://wiki.d-addicts.com/Category:JArtist","JActor","https://wiki.d-addicts.com/Category:JActor","T","https://wiki.d-addicts.com/index.php?title=Category:JActor&from=T","Terada Minori","https://wiki.d-addicts.com/Terada_Minori","null","null","/images/5/50/TeradaMinori.jpg"
"1588820667-8784","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","K","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=K","Kato Rosa","https://wiki.d-addicts.com/Kato_Rosa","160","48","/images/5/55/Kato_Rosa-headshot.jpg"
"1588820781-8860","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","K","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=K","Kanno Rio","https://wiki.d-addicts.com/Kanno_Rio","160","null","/images/3/39/KannoRio.jpg"
"1588819280-7760","https://wiki.d-addicts.com/Category:JArtist","JActress","https://wiki.d-addicts.com/Category:JActress","N","https://wiki.d-addicts.com/index.php?title=Category:JActress&from=N","Noguchi Mao","https://wiki.d-addicts.com/Noguchi_Mao","null","null","/images/f/fc/Noguchi_Mao.jpg"
