web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,list-selector,list-selector-href,people-selector,people-selector-href,height,weight,image-src
"1588828356-14298","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","C","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=C","Chen Xiang","https://wiki.d-addicts.com/Chen_Xiang","176","55","/images/f/fe/ChenXiang.jpg"
"1588821021-9033","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","X","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=X","Xu Zhan Wei","https://wiki.d-addicts.com/Xu_Zhan_Wei","null","null","/images/4/4f/Xu_Zhan_Wei.jpg"
"1588816254-5430","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","L","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=L","Li Ming Ji","https://wiki.d-addicts.com/Li_Ming_Ji","null","null",""
"1588818529-7257","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","C","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=C","Chen Qi","https://wiki.d-addicts.com/Chen_Qi","null","null","/images/a/a1/Chen_Qi_.jpg"
"1588813379-2323","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","W","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=W","Wang Zhen Er","https://wiki.d-addicts.com/Wang_Zhen_Er","null","null","/images/e/e2/Wang_Zhen_Er.jpeg"
"1588822213-9753","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","W","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=W","Wang Jin Song (2)","https://wiki.d-addicts.com/Wang_Jin_Song_(2)","null","null","/images/f/f9/Wang_Jin_Song_%282%29.jpeg"
"1588825434-11963","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","L","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=L","Li De Long","https://wiki.d-addicts.com/Li_De_Long","null","null","/images/6/68/Li_De_Long.jpg"
"1588825536-12026","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","L","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=L","Li Bao Min","https://wiki.d-addicts.com/Li_Bao_Min","null","null","/images/5/51/Li_Bao_Min.jpeg"
"1588819485-7910","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","Z","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=Z","Zhang Jin Yuan","https://wiki.d-addicts.com/Zhang_Jin_Yuan","null","null","/images/3/31/Zhang_Jin_Yuan.jpeg"
"1588828376-14312","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","C","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=C","Chen Wei Xu","https://wiki.d-addicts.com/Chen_Wei_Xu","null","null","/images/c/ce/Chen_Wei_Xu.jpg"
"1588814017-3117","https://wiki.d-addicts.com/Category:CArtist","CActress","https://wiki.d-addicts.com/Category:CActress","T","https://wiki.d-addicts.com/index.php?title=Category:CActress&from=T","Tian Lu Han","https://wiki.d-addicts.com/Tian_Lu_Han","null","null","/images/b/b1/Tian_Lu_Han.jpeg"
"1588819246-7738","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","Z","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=Z","Zhang Tao","https://wiki.d-addicts.com/Zhang_Tao","null","null","/images/0/00/Zhang_Tao.JPG"
"1588819742-8117","https://wiki.d-addicts.com/Category:CArtist","CActor","https://wiki.d-addicts.com/Category:CActor","Z","https://wiki.d-addicts.com/index.php?title=Category:CActor&from=Z","Zhang Chi (1988)","https://wiki.d-addicts.com/Zhang_Chi_(1988)","178","null","/images/0/0a/ZhangChi.JPG"
