web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,people,people-href,height,weight,image-src
"1588813005-1858","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Baro","https://wiki.d-addicts.com/Baro","178","63","/images/thumb/e/ed/Chabaro.jpg/300px-Chabaro.jpg"
"1588812261-986","https://wiki.d-addicts.com/Category:Singers","SGSinger","https://wiki.d-addicts.com/Category:SGSinger","Lim Yee Chung","https://wiki.d-addicts.com/Lim_Yee_Chung","176","64","/images/thumb/6/66/Rynnlim.jpg/200px-Rynnlim.jpg"
"1588814240-3379","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Joel Chan","https://wiki.d-addicts.com/Joel_Chan","181","68","/images/9/97/JoelChan.jpg"
"1588812643-1458","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","G.O","https://wiki.d-addicts.com/G.O","177","65","/images/thumb/6/6e/G.o.jpg/170px-G.o.jpg"
"1588814710-3921","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Wang Yi Heng","https://wiki.d-addicts.com/Wang_Yi_Heng","186","null","/images/thumb/f/fb/Wang-Yi-Heng.jpg/300px-Wang-Yi-Heng.jpg"
"1588814418-3614","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Deanie Ip","https://wiki.d-addicts.com/Deanie_Ip","null","null",""
"1588812412-1169","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hoya","https://wiki.d-addicts.com/Hoya","178","null","/images/8/88/LeeHoya.jpg"
"1588811979-671","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Eddie Peng","https://wiki.d-addicts.com/Eddie_Peng","182","70","/images/thumb/b/b4/Eddie_Peng.jpg/200px-Eddie_Peng.jpg"
"1588812489-1288","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Han Seung Yeon","https://wiki.d-addicts.com/Han_Seung_Yeon","160","null","/images/thumb/0/0d/Han_Seung_Yeon.jpg/230px-Han_Seung_Yeon.jpg"
"1588814906-4158","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Qi Wei","https://wiki.d-addicts.com/Qi_Wei","169","48","/images/2/2d/QiWei.jpg"
"1588812364-1114","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hwang Hyun Joon","https://wiki.d-addicts.com/Hwang_Hyun_Joon","178","68","/images/f/f4/Picture.jpg"
"1588812797-1639","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Choi Sulli","https://wiki.d-addicts.com/Choi_Sulli","167","null","/images/c/c5/Sulli_Choi.jpg"
"1588814803-4034","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Sun Nan","https://wiki.d-addicts.com/Sun_Nan","178","75","/images/f/ff/SunNan.jpg"
"1588812447-1227","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hi.ni","https://wiki.d-addicts.com/Hi.ni","164","44","/images/thumb/7/71/Hini_%28singer%29.jpg/240px-Hini_%28singer%29.jpg"
